Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
6,0.0,7.24,14.51,0.0,13.9,10.65,0.02,73.82,16.9
5,0.0,8.25,21.35,0.0,18.88,10.1,0.02,72.58,19.1
6,0.0,4.37,15.65,0.07,6.15,11.19,0.01,74.46,26.4
5,0.0,10.03,18.98,0.0,4.01,10.25,0.01,72.44,30.6
6,0.0,4.74,8.7,0.06,4.34,11.45,0.02,75.19,13.8
6,0.0,2.58,5.47,0.0,19.18,11.3,0.03,74.62,12.3
6,0.0,5.35,15.53,0.0,7.66,11.02,0.01,74.21,19.9
4,0.0,13.13,31.34,0.18,24.16,9.75,0.06,72.34,28.9
5,0.0,7.11,33.82,0.0,15.51,8.71,0.11,71.19,23.9
6,0.44,11.67,30.17,0.15,26.03,7.3,0.54,73.9,17.9
6,1.03,13.66,24.71,0.0,27.59,7.91,0.23,73.8,21.6
6,0.94,16.24,19.94,0.0,25.93,7.54,0.29,73.21,16.8
6,0.89,16.23,21.78,0.13,27.87,6.99,0.5,74.28,23.3
6,0.57,17.83,28.18,0.33,32.66,7.41,0.34,73.55,15.9
6,0.5,12.4,27.88,0.08,22.56,8.36,0.49,74.87,15.7
6,0.88,17.67,26.52,0.07,13.35,7.1,0.62,71.94,28.1
6,1.13,11.91,24.25,0.0,24.14,7.69,0.59,73.88,22.3
6,0.47,10.62,17.76,0.0,27.05,7.74,0.39,76.03,20.7
6,0.54,13.49,27.06,0.0,29.47,9.03,0.17,76.86,15.8
6,0.49,8.23,13.73,0.17,20.58,9.42,0.12,77.73,20.0
6,0.17,11.55,16.17,0.0,21.57,7.15,0.71,76.28,14.0
6,0.52,10.68,19.01,0.0,20.59,8.61,0.33,77.55,16.2
6,0.22,13.83,21.76,0.0,11.55,7.52,0.29,75.79,18.8
6,0.23,12.74,34.16,0.19,10.71,7.24,0.57,74.84,9.6
6,0.23,12.39,35.85,0.16,3.27,7.25,0.83,74.51,21.5
6,0.36,15.8,30.0,0.0,11.18,7.54,0.49,74.61,18.7
6,0.27,10.21,21.0,0.0,16.88,7.72,0.4,76.27,20.6
6,0.8,7.6,10.82,0.0,20.59,8.88,0.13,76.68,17.6
6,0.64,7.44,20.3,0.0,26.57,8.14,0.39,75.91,25.0
6,0.31,12.92,25.79,0.0,5.87,8.23,0.4,75.46,25.5
6,1.03,7.82,15.86,0.0,10.25,8.44,0.4,75.79,16.4
6,1.56,10.17,14.25,0.0,18.22,7.4,0.47,75.64,20.5
6,0.67,10.24,20.61,0.0,16.66,7.58,0.42,74.48,21.2
6,0.78,9.68,28.43,0.0,18.0,7.14,0.44,74.74,21.7
6,0.91,10.57,32.41,0.0,26.91,7.58,0.41,73.74,19.5
6,0.61,16.56,38.61,0.0,25.98,6.85,0.42,73.53,24.7
6,0.72,8.6,25.96,0.0,25.07,7.22,0.26,71.72,28.0
6,0.66,17.43,27.58,0.0,25.53,6.42,0.51,69.54,26.3
6,0.0,7.75,16.05,0.0,5.38,10.84,0.01,76.93,13.3
6,0.0,9.4,8.1,0.0,12.78,11.23,0.01,77.32,20.4
6,0.0,5.14,6.96,0.0,6.05,10.76,0.04,77.55,15.2
6,0.0,4.56,6.75,0.0,5.14,10.9,0.03,77.51,21.3
5,0.0,7.59,13.28,0.0,29.48,9.64,0.03,74.44,20.6
6,0.0,8.12,16.85,0.0,0.3,9.12,0.02,74.54,23.9
6,0.66,18.38,20.99,0.0,20.11,9.01,0.38,75.27,14.9
6,1.17,14.04,22.45,0.0,21.48,9.72,0.14,73.89,19.1
6,0.2,17.69,37.81,0.0,45.34,7.41,0.83,74.19,20.6
6,1.46,8.64,10.4,0.0,21.38,10.99,0.07,74.92,16.0
6,0.0,7.69,7.4,0.0,19.98,11.89,0.01,74.76,17.1
6,0.51,15.11,37.23,0.31,38.59,7.52,1.08,72.07,22.7
6,0.26,10.26,25.08,0.0,16.77,7.62,0.47,72.85,20.0
6,0.47,12.14,32.96,0.0,39.95,7.7,0.69,73.86,18.1
6,0.47,7.51,24.68,0.0,27.82,8.49,0.29,74.16,13.1
6,0.58,9.65,20.42,0.0,26.92,7.85,0.66,73.61,14.5
6,0.87,11.64,27.2,0.0,36.86,8.22,0.41,72.65,18.0
6,1.0,10.5,29.76,0.0,24.98,7.59,0.59,72.61,25.7
6,0.54,10.05,38.82,0.41,27.74,7.32,0.66,70.21,30.1
6,0.59,10.41,36.36,0.06,31.28,6.43,0.53,69.28,23.9
6,0.5,8.07,18.79,0.0,24.4,7.43,1.49,70.72,20.1
5,0.4,14.73,45.07,0.16,35.96,5.99,0.74,66.89,37.0
6,0.44,12.63,46.77,0.13,39.48,6.55,0.83,69.24,23.7
5,0.7,18.91,43.32,0.28,30.22,6.2,0.73,67.36,23.3
6,0.91,9.7,43.68,0.0,29.35,7.24,0.45,70.25,21.5
6,1.88,5.93,10.64,0.0,10.47,10.73,0.09,74.06,14.8
6,0.52,10.62,31.31,0.0,14.06,8.66,0.25,72.59,27.4
6,0.57,10.0,30.42,0.0,18.52,8.56,0.28,72.49,21.2
6,0.38,11.85,38.94,0.0,22.42,7.85,0.5,71.6,25.3
6,0.28,11.91,29.8,0.12,22.86,7.66,0.65,71.5,15.9
6,0.32,10.66,33.84,0.0,10.88,8.29,0.36,72.65,17.2
6,0.17,15.57,29.66,0.0,13.41,7.68,0.53,72.41,16.2
6,0.29,13.27,28.33,0.28,16.92,7.45,0.73,71.72,23.9
6,0.27,16.31,31.56,0.0,11.1,7.61,0.76,71.56,25.1
6,0.26,13.86,24.9,0.2,10.04,8.08,0.42,72.49,20.5
6,0.57,12.42,18.54,0.0,2.71,9.59,0.26,72.67,23.0
5,0.61,21.57,58.03,0.14,32.89,6.16,0.38,70.22,38.9
5,0.43,23.76,57.79,0.0,22.78,5.47,0.58,68.07,17.2
5,0.79,15.3,38.55,0.0,22.44,6.89,0.37,67.67,38.7
5,0.5,20.51,52.51,0.49,31.09,6.23,0.69,71.56,29.0
6,0.0,7.75,10.29,0.0,27.61,10.95,0.02,74.04,15.7
6,0.0,7.89,9.19,0.0,27.53,10.88,0.03,73.86,12.9
6,0.0,4.62,6.51,0.0,10.38,10.95,0.02,73.36,25.7
6,0.0,7.44,7.41,0.0,11.14,9.45,0.05,70.35,19.0
6,0.0,6.88,22.4,0.0,9.16,10.02,0.04,71.6,22.1
6,0.0,6.39,12.11,0.0,10.25,10.86,0.01,73.39,6.9
6,0.0,5.09,6.49,0.0,6.9,11.79,0.02,72.83,12.4
6,0.0,5.23,9.38,0.0,0.09,10.36,0.02,74.18,28.9
6,0.0,4.09,7.04,0.0,22.67,9.87,0.14,72.65,15.0
5,0.51,10.72,38.1,0.0,50.84,6.7,1.27,64.79,37.8
5,0.65,10.29,41.24,0.45,60.22,6.4,1.1,67.33,27.3
6,1.82,7.12,23.46,0.0,16.87,8.9,0.12,69.93,23.3
6,0.77,5.49,33.0,0.0,24.53,7.5,0.63,64.76,27.2
6,0.0,5.93,11.31,0.0,7.56,10.67,0.02,71.6,15.3
6,0.0,4.24,13.48,0.0,9.26,10.16,0.08,66.69,20.6
4,0.0,6.79,27.55,0.0,22.08,8.92,0.12,68.12,23.4
6,0.0,2.57,4.1,0.0,28.59,11.22,0.02,72.47,19.9
6,1.13,5.06,12.7,0.0,25.24,8.11,0.8,72.46,14.3
6,0.49,5.12,5.14,0.0,6.65,9.02,0.42,73.75,9.2
6,1.09,2.62,4.33,0.0,5.05,10.45,0.1,75.18,8.7
6,0.8,4.85,4.37,0.0,6.98,9.33,0.14,73.78,5.1
6,1.04,5.64,16.65,0.16,15.9,7.33,0.23,71.41,19.4
5,1.95,5.09,14.84,0.01,37.43,7.02,0.36,70.62,11.8
6,0.98,6.78,18.06,0.73,33.36,5.65,0.61,70.56,22.9
6,1.49,6.12,28.71,0.08,19.91,7.07,0.59,71.95,8.9
6,0.0,2.96,3.46,0.0,1.66,11.16,0.01,74.93,9.0
5,0.88,14.47,27.86,0.32,28.5,6.59,0.72,67.19,28.9
6,0.48,13.44,33.77,0.0,24.26,6.52,0.45,66.38,32.1
5,0.72,15.38,30.27,0.14,29.93,6.94,0.4,66.16,37.6
6,0.16,13.91,18.73,0.15,13.51,8.13,2.56,67.73,29.7
6,0.15,12.6,16.14,0.17,31.08,8.69,1.59,66.99,31.5
6,0.24,14.88,23.37,0.24,21.9,8.59,3.11,66.5,30.4
6,0.26,13.54,24.67,0.0,7.84,8.7,2.22,68.31,23.6
5,0.67,27.04,37.62,0.43,38.49,6.12,0.95,67.36,34.0
6,0.0,8.65,14.31,0.0,5.66,9.54,0.01,71.88,25.3
5,0.0,8.88,14.86,0.0,10.64,10.84,0.31,70.5,23.7
4,0.82,22.98,49.56,8.68,41.51,7.54,3.98,64.91,40.4
4,0.61,26.64,58.93,15.11,42.58,6.93,2.94,66.46,48.3
5,0.67,22.62,55.07,6.73,26.86,8.33,1.9,67.09,46.7
5,0.7,15.68,40.98,5.95,40.16,7.58,1.23,64.89,39.9
3,1.3,21.09,55.42,6.6,58.02,8.0,2.09,61.64,44.8
5,1.16,11.14,39.35,2.04,30.18,7.2,1.15,65.31,23.4
6,0.84,13.35,35.28,9.74,22.3,7.37,1.06,67.45,26.6
5,1.25,24.13,32.55,1.56,18.1,8.32,1.26,65.43,27.2
6,0.45,12.58,33.85,2.5,33.73,8.47,1.53,68.12,29.0
5,0.55,20.48,39.95,3.14,22.67,7.81,0.93,67.11,33.1
5,0.57,29.68,38.04,3.14,29.5,8.2,5.54,65.16,28.8
